Trend,Rise_0,Body_i_0,h_Wick_i_0,l_Wick_i_0,Rise_1,Open_1,High_1,Low_1,Close_1,Body_1,h_Wick_1,l_Wick_1,h_Wick_i_1,l_Wick_i_1,Rise_2,Open_2,High_2,Low_2,Close_2,Body_2,h_Wick_2,l_Wick_2,h_Wick_i_2,l_Wick_i_2,Label,LabelConf
0,0,1600.0,400.0,200.0,1,0.9616,0.9634340222575516,0.9818780889621088,0.9901477832512317,0.125,0.75,2.5,1.5,2.5,0,1.0,1.0016501650165015,0.9899328859060402,0.9817578772802652,4.5,2.0,0.4,0.6666666666666666,0.2222222222222222,1.0,1.0
0,1,200.0,300.0,500.0,0,1.0,1.0016501650165015,0.9899328859060402,0.9817578772802652,4.5,2.0,0.4,0.6666666666666666,0.2222222222222222,1,0.9816971713810316,1.0115321252059308,1.0,1.0185810810810811,1.4444444444444444,1.8333333333333333,0.0,0.8461538461538461,0.0,1.0,1.0
0,0,900.0,600.0,200.0,1,0.9816971713810316,1.0115321252059308,1.0,1.0185810810810811,1.4444444444444444,1.8333333333333333,0.0,0.8461538461538461,0.0,1,1.0084745762711864,0.972312703583062,1.0,0.988391376451078,0.0769230769230769,0.0909090909090909,5.0,1.0,5.0,1.0,1.0
0,1,1300.0,1100.0,0.0,1,1.0084745762711864,0.972312703583062,1.0,0.988391376451078,0.0769230769230769,0.0909090909090909,5.0,1.0,5.0,0,1.005042016806723,1.001675041876047,0.9966101694915256,0.9916107382550337,7.0,0.0,0.6,0.0,0.4285714285714285,1.0,1.0
0,1,100.0,100.0,500.0,0,1.005042016806723,1.001675041876047,0.9966101694915256,0.9916107382550337,7.0,0.0,0.6,0.0,0.4285714285714285,1,0.9849498327759196,0.9983277591973244,0.9948979591836736,0.9966159052453468,0.0,5.0,1.3333333333333333,5.0,5.0,1.0,1.0
0,0,700.0,0.0,300.0,1,0.9849498327759196,0.9983277591973244,0.9948979591836736,0.9966159052453468,0.0,5.0,1.3333333333333333,5.0,5.0,1,1.00169779286927,0.9949748743718592,1.0017094017094017,1.0084889643463495,5.0,0.0,1.0,0.0,1.0,1.0,1.0
0,1,0.0,800.0,400.0,1,1.00169779286927,0.9949748743718592,1.0017094017094017,1.0084889643463495,5.0,0.0,1.0,0.0,1.0,0,1.006779661016949,1.0,0.9863481228668942,0.9797979797979798,3.0,5.0,1.0,0.0,0.3333333333333333,1.0,1.0
0,1,400.0,0.0,400.0,0,1.006779661016949,1.0,0.9863481228668942,0.9797979797979798,3.0,5.0,1.0,0.0,0.3333333333333333,1,0.9831649831649832,1.0,1.0103806228373702,1.0206185567010309,0.8333333333333334,5.0,0.0,0.0,0.0,1.0,1.0
0,0,1200.0,0.0,400.0,1,0.9831649831649832,1.0,1.0103806228373702,1.0206185567010309,0.8333333333333334,5.0,0.0,0.0,0.0,0,1.0171232876712328,1.0,1.00513698630137,0.9932659932659932,0.4,5.0,5.0,0.0,0.75,1.0,1.0
1,1,1000.0,0.0,0.0,0,1.0171232876712328,1.0,1.00513698630137,0.9932659932659932,0.4,5.0,5.0,0.0,0.75,0,0.9932659932659932,0.9949494949494948,0.9965928449744464,0.9932203389830508,1.0,5.0,0.3333333333333333,0.25,0.25,3.0,1.0
0,0,400.0,0.0,300.0,0,0.9932659932659932,0.9949494949494948,0.9965928449744464,0.9932203389830508,1.0,5.0,0.3333333333333333,0.25,0.25,0,0.9898305084745764,0.988155668358714,0.9811965811965812,0.9795221843003412,2.5,0.0,0.0,0.0,0.0,1.0,1.0
0,0,400.0,100.0,100.0,0,0.9898305084745764,0.988155668358714,0.9811965811965812,0.9795221843003412,2.5,0.0,0.0,0.0,0.0,1,0.9845890410958904,0.9914383561643836,1.0,1.0017421602787455,0.0,5.0,5.0,5.0,5.0,1.0,1.0
0,0,1000.0,0.0,0.0,1,0.9845890410958904,0.9914383561643836,1.0,1.0017421602787455,0.0,5.0,5.0,5.0,5.0,1,0.9930434782608696,1.0103626943005182,0.9930313588850174,0.9965217391304348,5.0,3.0,1.0,6.0,0.5,1.0,1.0
0,1,0.0,400.0,100.0,1,0.9930434782608696,1.0103626943005182,0.9930313588850174,0.9965217391304348,5.0,3.0,1.0,6.0,0.5,1,0.9982486865148862,0.9914529914529916,1.0,1.0052356020942408,3.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0
