Trend,Rise_0,Body_i_0,h_Wick_i_0,l_Wick_i_0,Rise_1,Open_1,High_1,Low_1,Close_1,Body_1,h_Wick_1,l_Wick_1,h_Wick_i_1,l_Wick_i_1,Rise_2,Open_2,High_2,Low_2,Close_2,Body_2,h_Wick_2,l_Wick_2,h_Wick_i_2,l_Wick_i_2,Label,LabelConf
0,0,1.1800000000000068,0.0,0.8799999999999955,1,0.9856569560047562,0.99814209274673,0.9947924528301888,1.0046483730694258,1.1610169491525395,5.0,0.9318181818181788,0.2262773722627746,0.5985401459853945,1,1.0103294880494609,1.001861365497729,1.0109248160230635,1.0,0.0,1.80645161290322,0.914634146341471,5.0,5.0,2.0,1.0
1,1,1.3700000000000043,0.3100000000000023,0.8199999999999932,1,1.0103294880494609,1.001861365497729,1.0109248160230635,1.0,0.0,1.80645161290322,0.914634146341471,5.0,5.0,0,1.0107462686567164,1.0092895362663497,1.0,1.0102985074626865,5.0,0.6607142857142911,2.839999999999994,6.166666666666509,35.49999999999858,0.0,1.0
1,1,0.0,0.5600000000000023,0.75,0,1.0107462686567164,1.0092895362663497,1.0,1.0102985074626865,5.0,0.6607142857142911,2.839999999999994,6.166666666666509,35.49999999999858,1,0.9985971647962196,1.004197039982328,1.0070544090056286,1.000886393854336,4.166666666666509,2.3783783783783368,0.4976525821596265,3.519999999999982,4.240000000000009,0.0,1.0
1,0,0.0600000000000022,0.3700000000000045,2.1299999999999955,1,0.9985971647962196,1.004197039982328,1.0070544090056286,1.000886393854336,4.166666666666509,2.3783783783783368,0.4976525821596265,3.519999999999982,4.240000000000009,1,1.0046580406654344,1.0242704208828275,1.0060362173038229,1.030479704797048,15.0,0.0681818181818211,0.830188679245277,0.0160000000000006,0.2346666666666654,0.0,1.0
1,1,0.25,0.8799999999999955,1.0600000000000025,1,1.0046580406654344,1.0242704208828275,1.0060362173038229,1.030479704797048,15.0,0.0681818181818211,0.830188679245277,0.0160000000000006,0.2346666666666654,1,1.0206800117750956,1.011597107881738,1.0226666666666666,1.0111723841581322,0.6666666666666666,2.0,0.7159090909090895,0.0480000000000018,0.2519999999999981,0.0,1.0
1,1,3.75,0.0600000000000022,0.8799999999999955,1,1.0206800117750956,1.011597107881738,1.0226666666666666,1.0111723841581322,0.6666666666666666,2.0,0.7159090909090895,0.0480000000000018,0.2519999999999981,0,1.0094455259932222,0.9973816431958106,0.997320005794582,0.9871803952121256,0.2480000000000018,7.833333333333018,2.6825396825396983,1.5161290322580496,2.7258064516128795,3.0,1.0
1,1,2.5,0.1200000000000045,0.6299999999999955,0,1.0094455259932222,0.9973816431958106,0.997320005794582,0.9871803952121256,0.2480000000000018,7.833333333333018,2.6825396825396983,1.5161290322580496,2.7258064516128795,0,0.9964285714285714,0.9951042997020008,0.9977485656184182,0.9878748744439662,2.91935483870966,0.7978723404255339,0.1834319526627235,0.4143646408839774,0.1712707182320452,3.0,1.0
1,0,0.6200000000000045,0.9399999999999976,1.6899999999999975,0,0.9964285714285714,0.9951042997020008,0.9977485656184182,0.9878748744439662,2.91935483870966,0.7978723404255339,0.1834319526627235,0.4143646408839774,0.1712707182320452,1,0.9878853046594982,1.000926916221034,0.988135099723395,1.0181567288837243,1.314917127071819,0.2533333333333303,6.645161290322539,0.0798319327731084,0.8655462184873975,3.0,1.0
1,0,1.8100000000000025,0.75,0.3100000000000023,1,0.9878853046594982,1.000926916221034,0.988135099723395,1.0181567288837243,1.314917127071819,0.2533333333333303,6.645161290322539,0.0798319327731084,0.8655462184873975,0,1.013206588781656,0.9946573585980908,1.0096500920810314,0.9817390684071616,0.8403361344537831,0.0,0.2766990291262099,0.0,0.2849999999999966,3.0,1.0
1,1,2.3799999999999955,0.1899999999999977,2.0600000000000023,0,1.013206588781656,0.9946573585980908,1.0096500920810314,0.9817390684071616,0.8403361344537831,0.0,0.2766990291262099,0.0,0.2849999999999966,0,0.9856764305664972,0.9910477691040608,0.9959141981613892,0.9945506066991208,0.375,5.0,0.6666666666666666,1.0,0.5066666666666606,3.0,1.0
